condition,n,accuracy,precision,recall,auc
clean,3000,0.9816666666666667,0.9757536041939712,0.9880557398805574,0.9981941828955386
jpeg_q90,3000,0.981,0.9732375979112271,0.9893828798938288,0.9981501819372955
jpeg_q70,3000,0.9803333333333333,0.9725848563968669,0.9887193098871931,0.9980426240393679
jpeg_q50,3000,0.98,0.9750492449113591,0.9854014598540146,0.9977448397765107
jpeg_q30,3000,0.977,0.9755291005291006,0.9787657597876576,0.9976635046718795
blur_s0.5,3000,0.9823333333333333,0.9789196310935442,0.9860650298606503,0.9981937384414149
blur_s1.0,3000,0.9813333333333333,0.9807819748177601,0.9820836098208361,0.9978901762749499
blur_s2.0,3000,0.9706666666666667,0.9701789264413518,0.9714664897146649,0.9960052463364758
resize_0.5x,3000,0.9806666666666667,0.9750819672131148,0.986728599867286,0.9976683936672398
resize_0.25x,3000,0.9333333333333333,0.979457079970653,0.8858659588586596,0.9913447003956974
noise_s0.02,3000,0.981,0.9769736842105263,0.9854014598540146,0.997781729468775
noise_s0.05,3000,0.9763333333333334,0.9786666666666667,0.9741207697412076,0.9971808274935765
noise_s0.10,3000,0.969,0.9738605898123325,0.9641672196416722,0.994873666137618
color_jitter_20pct,3000,0.9696666666666667,0.9603381014304291,0.980092899800929,0.9967199285673332
center_crop_80pct,3000,0.964,0.966022651565623,0.962176509621765,0.9943927667758098
